Univ,College,Major,Continent,Country,Foreign Univ,Semester,Url
KHU,경영대학,경영학부,etc,말레이시아 연수 보고,말레이시아 연수 보고서,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4462&b_code=12&page=117&s1=&s2=&b_ex1=&idx_no=1323&perpage=15
KHU,외국어대학,중국어학과,etc,중국 청도,청도대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4461&b_code=12&page=117&s1=&s2=&b_ex1=&idx_no=1322&perpage=15
KHU,문과대학,국어국문학과,etc,<말레이시아> NOTTINGHAM Univ연.,<말레이시아> NOTTINGHAM Univ연..,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4460&b_code=12&page=117&s1=&s2=&b_ex1=&idx_no=1321&perpage=15
KHU,호텔관광대학,관광학부,Asia,중국,상해사범대,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4459&b_code=12&page=117&s1=&s2=&b_ex1=&idx_no=1320&perpage=15
KHU,예술·디자인대학,PostModern음악학과,etc,말레이시아 The University of Nottingham .,말레이시아 The University of Nottingham ..,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4451&b_code=12&page=117&s1=&s2=&b_ex1=&idx_no=1319&perpage=15
KHU,생활과학대학,아동가족학과,etc,<말레이시아> NOTTINGHAM연수 보.,<말레이시아> NOTTINGHAM연수 보..,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4450&b_code=12&page=117&s1=&s2=&b_ex1=&idx_no=1318&perpage=15
KHU,호텔관광대학,Hospitality경영학부,etc,말레이시아연수보,말레이시아연수보고,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4449&b_code=12&page=117&s1=&s2=&b_ex1=&idx_no=1317&perpage=15
KHU,호텔관광대학,관광학부,etc,말레이시아연수 귀국보,말레이시아연수 귀국보고,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4448&b_code=12&page=117&s1=&s2=&b_ex1=&idx_no=1316&perpage=15
KHU,외국어대학,스페인어학과,Europe,스페인,Universidad de CastillaLa ..,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4447&b_code=12&page=117&s1=&s2=&b_ex1=&idx_no=1315&perpage=15
KHU,호텔관광대학,관광학부,Europe,오스트리아,MCI,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4446&b_code=12&page=117&s1=&s2=&b_ex1=&idx_no=1314&perpage=15
KHU,생활과학대학,주거환경학과,Asia,중국,북경대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4445&b_code=12&page=117&s1=&s2=&b_ex1=&idx_no=1313&perpage=15
KHU,생활과학대학,의상학과,Asia,중국,북경대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4444&b_code=12&page=117&s1=&s2=&b_ex1=&idx_no=1312&perpage=15
KHU,정경대학,행정학과,Asia,중국,북경대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4443&b_code=12&page=117&s1=&s2=&b_ex1=&idx_no=1311&perpage=15
KHU,외국어대학,글로벌커뮤니케이션학부,Asia,중국,북경대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4442&b_code=12&page=118&s1=&s2=&b_ex1=&idx_no=1310&perpage=15
KHU,체육대학,골프산업학과,Asia,중국,북경대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4441&b_code=12&page=118&s1=&s2=&b_ex1=&idx_no=1309&perpage=15
KHU,체육대학,골프산업학과,Asia,중국,북경대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4440&b_code=12&page=118&s1=&s2=&b_ex1=&idx_no=1308&perpage=15
KHU,공과대학,정보전자신소재공학과,Asia,중국,북경대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4439&b_code=12&page=118&s1=&s2=&b_ex1=&idx_no=1307&perpage=15
KHU,정경대학,행정학과,Asia,중국,북경대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4438&b_code=12&page=118&s1=&s2=&b_ex1=&idx_no=1306&perpage=15
KHU,약학대학,약과학과,Asia,중국,북경대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4437&b_code=12&page=118&s1=&s2=&b_ex1=&idx_no=1305&perpage=15
KHU,외국어대학,글로벌커뮤니케이션학부,Asia,중국,북경대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4436&b_code=12&page=118&s1=&s2=&b_ex1=&idx_no=1304&perpage=15
KHU,경영대학,경영학부,Northern America,미국,Fairleigh Dickinson Universi..,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4435&b_code=12&page=118&s1=&s2=&b_ex1=&idx_no=1303&perpage=15
KHU,국제대학,국제학과,Asia,중국,북경대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4434&b_code=12&page=118&s1=&s2=&b_ex1=&idx_no=1302&perpage=15
KHU,공과대학,환경학및환경공학과,Asia,중국,북경대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4432&b_code=12&page=118&s1=&s2=&b_ex1=&idx_no=1301&perpage=15
KHU,정경대학,무역학과,Oceania,뉴질랜드,Waikato Institute of Tec..,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4431&b_code=12&page=118&s1=&s2=&b_ex1=&idx_no=1300&perpage=15
KHU,전자정보대학,전자·전파공학과,Asia,중국,북경대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4430&b_code=12&page=118&s1=&s2=&b_ex1=&idx_no=1299&perpage=15
KHU,호텔관광대학,관광학부,Asia,중국,북경대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4429&b_code=12&page=118&s1=&s2=&b_ex1=&idx_no=1298&perpage=15
KHU,외국어대학,중국어학과,Asia,중국,동제대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4427&b_code=12&page=118&s1=&s2=&b_ex1=&idx_no=1297&perpage=15
KHU,정경대학,무역학과,Asia,중국,북경대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4426&b_code=12&page=118&s1=&s2=&b_ex1=&idx_no=1296&perpage=15
KHU,외국어대학,중국어학과,Asia,중국,북경제2외국어대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4425&b_code=12&page=119&s1=&s2=&b_ex1=&idx_no=1295&perpage=15
KHU,공과대학,기계공학과,Asia,중국,북경대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4424&b_code=12&page=119&s1=&s2=&b_ex1=&idx_no=1294&perpage=15
KHU,한의과대학,한의학과,Asia,중국,북경대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4423&b_code=12&page=119&s1=&s2=&b_ex1=&idx_no=1293&perpage=15
KHU,이과대학,지리학과,Asia,중국,북경대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4422&b_code=12&page=119&s1=&s2=&b_ex1=&idx_no=1292&perpage=15
KHU,국제대학,국제학과,Asia,중국,북경대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4420&b_code=12&page=119&s1=&s2=&b_ex1=&idx_no=1291&perpage=15
KHU,경영대학,경영학부,Asia,중국,북경대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4417&b_code=12&page=119&s1=&s2=&b_ex1=&idx_no=1290&perpage=15
KHU,호텔관광대학,관광학부,Europe,스웨덴,Linköping University,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4416&b_code=12&page=119&s1=&s2=&b_ex1=&idx_no=1289&perpage=15
KHU,문과대학,영어학부,Europe,프랑스,IDRAC Business School,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4412&b_code=12&page=119&s1=&s2=&b_ex1=&idx_no=1288&perpage=15
KHU,외국어대학,중국어학과,Asia,중국,요녕대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4411&b_code=12&page=119&s1=&s2=&b_ex1=&idx_no=1287&perpage=15
KHU,공과대학,사회기반시스템공학과,Europe,핀란드,Mikkeli University of Appli..,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4410&b_code=12&page=119&s1=&s2=&b_ex1=&idx_no=1286&perpage=15
KHU,외국어대학,중국어학과,Asia,중국,동북사범대학교 NENU,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4409&b_code=12&page=119&s1=&s2=&b_ex1=&idx_no=1285&perpage=15
KHU,경영대학,경영학부,Oceania,호주,University of Western Sydney,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4408&b_code=12&page=119&s1=&s2=&b_ex1=&idx_no=1284&perpage=15
